"","island","item","wh","gap","region","model","surprisal"
"145","nocomp",8,"that","gap","continuation","NGRAM",20.8904978145421
"146","nocomp",8,"that","nogap","embed_obj","GPT2",14.370213508606
"147","nocomp",8,"that","nogap","embed_obj","GPT3",14.3109937
"148","nocomp",8,"that","nogap","embed_obj","GRNN",21.4805221557617
"149","nocomp",8,"that","nogap","embed_obj","JRNN",20.1313147544861
"150","nocomp",8,"that","nogap","embed_obj","NGRAM",27.130914351985
"151","nocomp",8,"what","gap","continuation","GPT2",10.8519344329834
"152","nocomp",8,"what","gap","continuation","GPT3",6.7950814
"153","nocomp",8,"what","gap","continuation","GRNN",22.7416076660156
"154","nocomp",8,"what","gap","continuation","JRNN",17.3697099685669
"155","nocomp",8,"what","gap","continuation","NGRAM",20.8904978145421
"156","nocomp",8,"what","nogap","embed_obj","GPT2",19.3634557723998
"157","nocomp",8,"what","nogap","embed_obj","GPT3",15.4243636
"158","nocomp",8,"what","nogap","embed_obj","GRNN",26.5863103866577
"159","nocomp",8,"what","nogap","embed_obj","JRNN",25.7706394195557
"160","nocomp",8,"what","nogap","embed_obj","NGRAM",27.130914351985
"161","nocomp",9,"that","gap","continuation","GPT2",10.9632635116577
"162","nocomp",9,"that","gap","continuation","GPT3",12.014827
"163","nocomp",9,"that","gap","continuation","GRNN",26.3133716583252
"164","nocomp",9,"that","gap","continuation","JRNN",14.854029417038
"165","nocomp",9,"that","gap","continuation","NGRAM",12.2327126769303
"166","nocomp",9,"that","nogap","embed_obj","GPT2",8.81291019916535
"167","nocomp",9,"that","nogap","embed_obj","GPT3",7.0604764
"168","nocomp",9,"that","nogap","embed_obj","GRNN",16.4212861061096
"169","nocomp",9,"that","nogap","embed_obj","JRNN",16.1195042133331
"170","nocomp",9,"that","nogap","embed_obj","NGRAM",28.2374334468622
"171","nocomp",9,"what","gap","continuation","GPT2",7.91857171058655
"172","nocomp",9,"what","gap","continuation","GPT3",9.8809558
"173","nocomp",9,"what","gap","continuation","GRNN",22.5965809822083
"174","nocomp",9,"what","gap","continuation","JRNN",13.260204076767
"175","nocomp",9,"what","gap","continuation","NGRAM",12.2327126769303
"176","nocomp",9,"what","nogap","embed_obj","GPT2",11.1760559082031
"177","nocomp",9,"what","nogap","embed_obj","GPT3",7.0503673
"178","nocomp",9,"what","nogap","embed_obj","GRNN",19.2446341514587
"179","nocomp",9,"what","nogap","embed_obj","JRNN",23.5120830535889
"180","nocomp",9,"what","nogap","embed_obj","NGRAM",28.2374334468622
"181","nocomp",10,"that","gap","continuation","GPT2",11.2899400740862
"182","nocomp",10,"that","gap","continuation","GPT3",10.36012667
"183","nocomp",10,"that","gap","continuation","GRNN",22.6612743139267
"184","nocomp",10,"that","gap","continuation","JRNN",20.0338388681412
"185","nocomp",10,"that","gap","continuation","NGRAM",36.9726397866633
"186","nocomp",10,"that","nogap","embed_obj","GPT2",4.50812041759491
"187","nocomp",10,"that","nogap","embed_obj","GPT3",4.4760255
"188","nocomp",10,"that","nogap","embed_obj","GRNN",7.34693741798401
"189","nocomp",10,"that","nogap","embed_obj","JRNN",7.61441397666931
"190","nocomp",10,"that","nogap","embed_obj","NGRAM",20.9884180226607
"191","nocomp",10,"what","gap","continuation","GPT2",9.43046714365482
"192","nocomp",10,"what","gap","continuation","GPT3",9.73816509
"193","nocomp",10,"what","gap","continuation","GRNN",21.408371001482
"194","nocomp",10,"what","gap","continuation","JRNN",16.407871812582
"195","nocomp",10,"what","gap","continuation","NGRAM",36.9726397866633
"196","nocomp",10,"what","nogap","embed_obj","GPT2",6.18959164619446
"197","nocomp",10,"what","nogap","embed_obj","GPT3",5.3139016
"198","nocomp",10,"what","nogap","embed_obj","GRNN",12.1126885414124
"199","nocomp",10,"what","nogap","embed_obj","JRNN",11.6627140045166
"200","nocomp",10,"what","nogap","embed_obj","NGRAM",20.9884180226607
"201","nocomp",11,"that","gap","continuation","GPT2",13.273266647011
"202","nocomp",11,"that","gap","continuation","GPT3",14.800945316
"203","nocomp",11,"that","gap","continuation","GRNN",19.4833539128304
"204","nocomp",11,"that","gap","continuation","JRNN",21.0669974684715
"205","nocomp",11,"that","gap","continuation","NGRAM",29.3100395934266
"206","nocomp",11,"that","nogap","embed_obj","GPT2",10.0775423049927
"207","nocomp",11,"that","nogap","embed_obj","GPT3",10.886702
"208","nocomp",11,"that","nogap","embed_obj","GRNN",11.2185595035553
"209","nocomp",11,"that","nogap","embed_obj","JRNN",15.8003168106079
"210","nocomp",11,"that","nogap","embed_obj","NGRAM",20.4192408108838
"211","nocomp",11,"what","gap","continuation","GPT2",12.1487169098109
"212","nocomp",11,"what","gap","continuation","GPT3",13.07153073
"213","nocomp",11,"what","gap","continuation","GRNN",15.8526890650392
"214","nocomp",11,"what","gap","continuation","JRNN",17.498898986727
