test,item,lisc,pron,island,region,model,surprisal
gender_adjunct,3,male,fem,island,pronoun,NGRAM,11.4383175378029
gender_adjunct,3,male,male,island,pronoun,NGRAM,10.014545941865
gender_sent-subj,3,male,fem,island,pronoun,NGRAM,11.7449660013437
gender_sent-subj,3,male,male,island,pronoun,NGRAM,10.32119460747
gender_subj,3,male,fem,island,pronoun,NGRAM,10.0211124644652
gender_subj,3,male,male,island,pronoun,NGRAM,7.42711551462221
gender_sent-subj,3,male,fem,obj,pronoun,NGRAM,11.5644299332995
gender_sent-subj,3,male,male,obj,pronoun,NGRAM,10.1406584187865
gender_subj,3,male,fem,obj,pronoun,NGRAM,10.0211124644652
gender_subj,3,male,male,obj,pronoun,NGRAM,7.42711551462221
gender_wh,3,male,fem,obj,pronoun,NGRAM,11.4383175378029
gender_wh,3,male,male,obj,pronoun,NGRAM,10.014545941865
gender_wh,3,male,fem,island,pronoun,NGRAM,11.4383175378029
gender_wh,3,male,male,island,pronoun,NGRAM,10.014545941865
gender_cnp,3,male,fem,obj,pronoun,NGRAM,12.357812331839
gender_cnp,3,male,fem,obj,pronoun,NGRAM,12.357812331839
gender_coord,3,male,fem,obj,pronoun,NGRAM,12.357812331839
gender_coord,3,male,fem,obj,pronoun,NGRAM,12.357812331839
gender_cnp,3,male,male,obj,pronoun,NGRAM,6.80737438125955
gender_cnp,3,male,male,obj,pronoun,NGRAM,6.80737438125955
gender_coord,3,male,male,obj,pronoun,NGRAM,6.80737438125955
gender_coord,3,male,male,obj,pronoun,NGRAM,6.80737438125955
gender_coord,3,male,fem,island,pronoun,NGRAM,9.54576655180157
gender_coord,3,male,male,island,pronoun,NGRAM,7.53721895814034
gender_cnp,3,male,fem,island,pronoun,NGRAM,11.2110417859804
gender_cnp,3,male,male,island,pronoun,NGRAM,9.78726977056053
gender_adjunct,3,fem,fem,obj,pronoun,NGRAM,11.4383175378029
gender_adjunct,3,fem,male,obj,pronoun,NGRAM,10.014545941865
gender_adjunct,3,fem,fem,island,pronoun,NGRAM,11.4383175378029
gender_adjunct,3,fem,male,island,pronoun,NGRAM,10.014545941865
gender_sent-subj,3,fem,fem,island,pronoun,NGRAM,11.7449660013437
gender_sent-subj,3,fem,male,island,pronoun,NGRAM,10.32119460747
gender_subj,3,fem,fem,island,pronoun,NGRAM,10.0211124644652
gender_subj,3,fem,male,island,pronoun,NGRAM,7.42711551462221
gender_sent-subj,3,fem,fem,obj,pronoun,NGRAM,11.5644299332995
gender_sent-subj,3,fem,male,obj,pronoun,NGRAM,10.1406584187865
gender_subj,3,fem,fem,obj,pronoun,NGRAM,10.0211124644652
gender_subj,3,fem,male,obj,pronoun,NGRAM,7.42711551462221
gender_wh,3,fem,fem,obj,pronoun,NGRAM,11.4383175378029
gender_wh,3,fem,male,obj,pronoun,NGRAM,10.014545941865
gender_wh,3,fem,fem,island,pronoun,NGRAM,11.4383175378029
gender_wh,3,fem,male,island,pronoun,NGRAM,10.014545941865
gender_coord,3,fem,fem,obj,pronoun,NGRAM,12.357812331839
gender_coord,3,fem,fem,obj,pronoun,NGRAM,12.357812331839
